"X","ID","ag","pov_final","genre","mc_calc"
72,"2008_Leavitt,David_TheIndianClerk_PW.txt.csv","M","3p","PW","Y"
73,"2008_Matthiessen,Peter_ShadowCountry_PW.txt.csv","M","3p","PW","Y"
74,"2008_Rash,Ron_ChemistryandOtherStories_PW.txt.csv","M","3p","PW","Y"
75,"2008_Ricci,Nino_OriginofSpecies_PW.txt.csv","M","3p","PW","Y"
76,"2008_Richards,DavidAdam_TheLostHighway_PW.txt.csv","M","3p","PW","Y"
77,"2008_Scibona,Salvatore_TheEnd_PW.txt.csv","M","3p","PW","Y"
78,"2008_Stenson,Fred_GreatKaroo_PW.txt.csv","M","3p","PW","Y"
79,"2008_Swan,Mary_BoysintheTrees_PW.txt.csv","F","3p","PW","Y"
80,"2008_Toltz,Steve_AFractionoftheWhole_PW.txt.csv","M","1p","PW","Y"
81,"2009_Foulds,Adam_TheQuickeningMaze_PW.txt.csv","M","3p","PW","Y"
82,"2009_Munro,Alice_TooMuchHappiness_PW.txt.csv","F","3p","PW","Y"
83,"2009_Byatt,AS_TheChildrensBook_PW.txt.csv","F","3p","PW","Y"
84,"2009_Bynum,SarahShun-lien_MsHempel_PW.txt.csv","F","3p","PW","Y"
85,"2009_Campbell,BonnieJo_AmericanSalvage_PW.txt.csv","F","3p","PW","Y"
86,"2009_Choi,Susan_APersonofInterest_PW.txt.csv","F","3p","PW","Y"
87,"2009_Coetzee,JM_Summertime_PW.txt.csv","M","1p","PW","Y"
88,"2009_Crummey,Michael_Galore_PW.txt.csv","M","3p","PW","Y"
89,"2009_Echlin,Kim_Disappeared_PW.txt.csv","F","1p","PW","Y"
90,"2009_Lyon,Annabel_TheGoldenMean_PW.txt.csv","F","1p","PW","Y"
91,"2009_Macintyre,Linden_BishopsMan_PW.txt.csv","M","1p","PW","Y"
92,"2009_Mantel,Hilary_WolfHall_PW.txt.csv","F","3p","PW","Y"
93,"2009_Mawer,Simon_GlassRoom_PW.txt.csv","M","3p","PW","Y"
94,"2009_McAdam,Colin_Fall_PW.txt.csv","M","1p","PW","Y"
95,"2009_McCann,Colum_LetTheGreatWorldSpin_PW.txt.csv","M","3p","PW","Y"
96,"2009_Michaels,Anne_TheWinterVault_PW.txt.csv","F","3p","PW","Y"
97,"2009_Mueenuddin,Daniyal_InOtherRoomsOtherWonders_PW.txt.csv","M","3p","PW","Y"
98,"2009_ONeill,Joseph_Netherland_PW.txt.csv","M","1p","PW","Y"
99,"2009_Price,Richard_LushLife_PW.txt.csv","M","3p","PW","Y"
100,"2009_Pullinger,Kate_MistressofNothing_PW.txt.csv","F","1p","PW","Y"
101,"2009_Rash,Ron_Serena_PW.txt.csv","M","3p","PW","Y"
102,"2009_Waters,Sarah_LittleStranger_PW.txt.csv","F","1p","PW","N"
103,"2010_Alexie,Sherman_WarDances_PW.txt.csv","M","1p","PW","Y"
104,"2010_Bergen,David_TheMatterwithMorris_PW.txt.csv","M","1p","PW","Y"
105,"2010_Birdsell,Sandra_WaitingForJoe_PW.txt.csv","F","3p","PW","Y"
106,"2010_Carey,Peter_ParrotandOlivier_PW.txt.csv","M","1p","PW","Y"
107,"2010_Donoghue,Emma_Room_PW.txt.csv","F","1p","PW","Y"
109,"2010_Gordon,Jaimy_LordofMisrule_PW.txt.csv","F","3p","PW","Y"
110,"2010_HaydenTaylor,Drew_MotorcyclesandSweetgrass_PW.txt.csv","M","3p","PW","Y"
111,"2010_Jacobson,Howard_FinklerQuestion_PW.txt.csv","M","3p","PW","Y"
112,"2010_Kingsolver,Barbara_TheLacuna_PW.txt.csv","F","3p","PW","Y"
113,"2010_Krauss,Nicole_GreatHouse_PW.txt.csv","F","1p","PW","Y"
114,"2010_Levy,Andrea_TheLongSong_PW.txt.csv","F","1p","PW","Y"
115,"2010_MacLeod,Alexander_LightLifting_PW.txt.csv","M","1p","PW","Y"
116,"2010_Mccarthy,Tom_C_PW.txt.csv","M","3p","PW","Y"
117,"2010_Moore,Lorrie_GateAt_PW.txt.csv","F","1p","PW","N"
